"Player","Team","Matches_Played","Innings_batted","Not_out","Runs","Highest_inns_score","Batting_average","Balls_faced","Batting_strike_rate",100,50,0,"4s","6s"
"S Ladda ","Gujarat Lions",1,0,0,0,0,0,0,0,0,0,0,0,0
"VR Aaron ","Royal Challengers Bangalore",8,1,1,0,0,0,0,0,0,0,0,0,0
"KJ Abbott ","Kings XI Punjab",5,3,2,13,12,13,8,162.5,0,0,1,0,1
"AD Nath ","Gujarat Lions",4,3,0,20,12,6.66,27,74.07,0,0,0,1,0
"MA Agarwal ","Delhi Daredevils",3,3,0,27,10,9,25,108,0,0,0,3,1
"HM Amla ","Kings XI Punjab",6,6,0,157,96,26.16,119,131.93,0,1,1,20,4
"Ankit Sharma ","Rising Pune Supergiants",3,1,1,3,3,0,3,100,0,0,0,0,0
"Anureet Singh ","Kings XI Punjab",2,0,0,0,0,0,0,0,0,0,0,0,0
"S Aravind ","Royal Challengers Bangalore",9,0,0,0,0,0,0,0,0,0,0,0,0
"A Ashish Reddy ","Sunrisers Hyderabad",4,3,1,47,32,23.5,29,162.06,0,0,0,2,4
"M Ashwin ","Rising Pune Supergiants",10,1,0,0,0,0,1,0,0,0,1,0,0
"R Ashwin ","Rising Pune Supergiants",14,6,4,41,29,20.5,38,107.89,0,0,1,3,1
"GJ Bailey ","Rising Pune Supergiants",6,5,1,84,34,21,98,85.71,0,0,1,9,2
"F Behardien ","Kings XI Punjab",3,3,1,14,9,7,13,107.69,0,0,1,2,0
"R Bhatia ","Rising Pune Supergiants",10,6,5,34,21,34,20,170,0,0,0,1,2
"SW Billings ","Delhi Daredevils",5,4,0,88,54,22,64,137.5,0,1,0,4,4
"STR Binny ","Royal Challengers Bangalore",14,6,2,63,21,15.75,39,161.53,0,0,0,5,4
"Bipul Sharma ","Sunrisers Hyderabad",7,4,2,51,27,25.5,25,204,0,0,0,1,5
"SM Boland ","Rising Pune Supergiants",2,0,0,0,0,0,0,0,0,0,0,0,0
"TA Boult ","Sunrisers Hyderabad",1,0,0,0,0,0,0,0,0,0,0,0,0
"CR Brathwaite ","Delhi Daredevils",8,6,0,83,34,13.83,38,218.42,0,0,0,6,8
"DJ Bravo ","Gujarat Lions",15,13,5,99,22,12.37,82,120.73,0,0,1,11,1
"JJ Bumrah ","Mumbai Indians",14,2,1,8,6,8,11,72.72,0,0,0,1,0
"JC Buttler ","Mumbai Indians",14,14,3,255,41,23.18,184,138.58,0,0,1,23,11
"KC Cariappa ","Kings XI Punjab",5,2,1,13,12,13,11,118.18,0,0,0,0,1
"YS Chahal ","Royal Challengers Bangalore",13,0,0,0,0,0,0,0,0,0,0,0,0
"DL Chahar ","Rising Pune Supergiants",2,0,0,0,0,0,0,0,0,0,0,0,0
"UBT Chand ","Mumbai Indians",1,1,0,0,0,0,4,0,0,0,1,0,0
"PP Chawla ","Kolkata Knight Riders",12,3,0,27,11,9,26,103.84,0,0,0,4,0
"NM Coulter0Nile ","Delhi Daredevils",4,2,2,9,7,0,14,64.28,0,0,0,1,0
"BCJ Cutting ","Sunrisers Hyderabad",4,4,2,65,39,32.5,34,191.17,0,0,1,4,6
"Q de Kock ","Delhi Daredevils",13,13,1,445,108,37.08,327,136.08,1,3,0,52,13
"AB de Villiers ","Royal Challengers Bangalore",16,16,3,687,129,52.84,407,168.79,1,6,1,57,37
"R Dhawan ","Kings XI Punjab",2,2,2,14,11,0,6,233.33,0,0,0,0,1
"S Dhawan ","Sunrisers Hyderabad",17,17,4,501,82,38.53,429,116.78,0,4,1,51,8
"MS Dhoni ","Rising Pune Supergiants",14,12,5,284,64,40.57,210,135.23,0,1,0,18,14
"AB Dinda ","Rising Pune Supergiants",9,0,0,0,0,0,0,0,0,0,0,0,0
"JP Duminy ","Delhi Daredevils",10,8,3,191,49,38.2,156,122.43,0,0,0,13,3
"F du Plessis ","Rising Pune Supergiants",6,6,0,206,69,34.33,162,127.16,0,2,0,17,9
"ER Dwivedi ","Gujarat Lions",4,2,0,24,19,12,14,171.42,0,0,0,2,2
"JP Faulkner ","Gujarat Lions",7,5,2,77,32,25.66,59,130.5,0,0,0,7,0
"AJ Finch ","Gujarat Lions",13,12,2,393,74,39.3,299,131.43,0,5,2,45,11
"G Gambhir ","Kolkata Knight Riders",15,15,2,501,90,38.53,411,121.89,0,5,1,54,6
"CH Gayle ","Royal Challengers Bangalore",10,10,0,227,76,22.7,150,151.33,0,2,1,17,21
"S Gopal ","Mumbai Indians",1,1,0,2,2,2,16,12.5,0,0,0,0,0
"MJ Guptill ","Mumbai Indians",3,3,0,57,48,19,55,103.63,0,0,0,3,3
"Gurkeerat Singh ","Kings XI Punjab",7,6,1,113,51,22.6,86,131.39,0,1,1,11,3
"PSP Handscomb ","Rising Pune Supergiants",2,1,0,6,6,6,12,50,0,0,0,0,0
"Harbhajan Singh ","Mumbai Indians",14,7,4,92,45,30.66,84,109.52,0,0,1,11,2
"JW Hastings ","Kolkata Knight Riders",2,0,0,0,0,0,0,0,0,0,0,0,0
"TM Head ","Royal Challengers Bangalore",3,3,1,54,37,27,40,135,0,0,0,3,2
"MC Henriques ","Sunrisers Hyderabad",17,15,3,182,31,15.16,158,115.18,0,0,1,15,6
"GB Hogg ","Kolkata Knight Riders",5,1,1,0,0,0,0,0,0,0,0,0,0
"JO Holder ","Kolkata Knight Riders",4,4,0,22,13,5.5,19,115.78,0,0,1,2,1
"DJ Hooda ","Sunrisers Hyderabad",17,15,1,144,34,10.28,121,119,0,0,0,9,5
"Imran Tahir ","Delhi Daredevils",4,1,0,5,5,5,7,71.42,0,0,0,1,0
"Iqbal Abdulla ","Royal Challengers Bangalore",8,2,2,37,33,0,27,137.03,0,0,0,4,1
"Ishan Kishan ","Gujarat Lions",5,5,0,42,27,8.4,41,102.43,0,0,1,5,0
"SS Iyer ","Delhi Daredevils",6,6,0,30,19,5,43,69.76,0,0,3,2,1
"RA Jadeja ","Gujarat Lions",15,15,6,191,36,21.22,177,107.9,0,0,1,14,4
"KM Jadhav ","Royal Challengers Bangalore",4,3,3,42,25,0,32,131.25,0,0,0,2,2
"SB Jakati ","Gujarat Lions",6,1,1,1,1,0,2,50,0,0,0,0,0
"MG Johnson ","Kings XI Punjab",3,3,1,5,4,2.5,14,35.71,0,0,0,0,0
"CJ Jordan ","Royal Challengers Bangalore",9,1,0,3,3,3,4,75,0,0,0,0,0
"KD Karthik ","Gujarat Lions",16,15,2,335,53,25.76,266,125.93,0,3,1,38,3
"S Kaushik ","Gujarat Lions",7,2,1,0,0,0,1,0,0,0,1,0,0
"SN Khan ","Royal Challengers Bangalore",5,4,2,66,35,33,31,212.9,0,0,0,7,4
"Z Khan ","Delhi Daredevils",12,2,0,6,4,3,13,46.15,0,0,0,1,0
"UT Khawaja ","Rising Pune Supergiants",6,6,0,127,30,21.16,100,127,0,0,0,14,3
"V Kohli ","Royal Challengers Bangalore",16,16,4,973,113,81.08,640,152.03,4,7,1,83,38
"Kuldeep Yadav ","Kolkata Knight Riders",3,0,0,0,0,0,0,0,0,0,0,0,0
"DS Kulkarni ","Gujarat Lions",14,5,3,27,10,13.5,16,168.75,0,0,0,3,0
"B Kumar ","Sunrisers Hyderabad",17,8,2,43,21,7.16,27,159.25,0,0,0,6,1
"P Kumar ","Gujarat Lions",16,7,3,24,15,6,26,92.3,0,0,1,3,0
"CA Lynn ","Kolkata Knight Riders",2,2,1,25,15,25,22,113.63,0,0,0,0,1
"MJ McClenaghan ","Mumbai Indians",14,5,2,34,20,11.33,23,147.82,0,0,0,2,3
"BB McCullum ","Gujarat Lions",16,16,0,354,60,22.12,262,135.11,0,1,1,38,16
"Mandeep Singh ","Royal Challengers Bangalore",1,0,0,0,0,0,0,0,0,0,0,0,0
"MR Marsh ","Rising Pune Supergiants",3,1,0,7,7,7,11,63.63,0,0,0,0,0
"SE Marsh ","Kings XI Punjab",6,6,1,159,56,31.8,134,118.65,0,1,0,13,4
"GJ Maxwell ","Kings XI Punjab",11,11,2,179,68,19.88,124,144.35,0,2,3,14,8
"DA Miller ","Kings XI Punjab",14,13,3,161,31,16.1,131,122.9,0,0,1,11,4
"AF Milne ","Royal Challengers Bangalore",1,0,0,0,0,0,0,0,0,0,0,0,0
"A Mishra ","Delhi Daredevils",14,2,0,4,3,2,14,28.57,0,0,0,0,0
"Mohammed Shami ","Delhi Daredevils",8,2,2,2,2,0,4,50,0,0,0,0,0
"EJG Morgan ","Sunrisers Hyderabad",7,6,1,123,51,24.6,105,117.14,0,1,1,8,4
"JA Morkel ","Rising Pune Supergiants",2,1,0,16,16,16,9,177.77,0,0,0,0,2
"M Morkel ","Kolkata Knight Riders",10,2,2,1,1,0,1,100,0,0,0,0,0
"CH Morris ","Delhi Daredevils",12,7,4,195,82,65,109,178.89,0,1,1,15,12
"C Munro ","Kolkata Knight Riders",4,3,0,30,16,10,30,100,0,0,0,3,0
"Mustafizur Rahman ","Sunrisers Hyderabad",16,0,0,0,0,0,0,0,0,0,0,0,0
"S Nadeem ","Delhi Daredevils",4,1,1,1,1,0,5,20,0,0,0,0,0
"NS Naik ","Kings XI Punjab",2,2,0,23,22,11.5,31,74.19,0,0,0,1,0
"KK Nair ","Delhi Daredevils",14,12,2,357,83,35.7,297,120.2,0,3,0,40,6
"SP Narine ","Kolkata Knight Riders",11,4,3,7,4,7,13,53.84,0,0,0,0,0
"P Negi ","Delhi Daredevils",8,6,4,57,19,28.5,59,96.61,0,0,0,2,3
"A Nehra ","Sunrisers Hyderabad",8,2,2,1,1,0,1,100,0,0,0,0,0
"NV Ojha ","Sunrisers Hyderabad",17,13,3,136,37,13.6,138,98.55,0,0,1,7,5
"MK Pandey ","Kolkata Knight Riders",12,11,3,248,52,31,183,135.51,0,2,1,17,9
"HH Pandya ","Mumbai Indians",11,9,2,44,9,6.28,63,69.84,0,0,0,4,0
"KH Pandya ","Mumbai Indians",12,9,3,237,86,39.5,124,191.12,0,1,0,22,13
"RR Pant ","Delhi Daredevils",10,10,2,198,69,24.75,152,130.26,0,1,0,19,6
"Parvez Rasool ","Royal Challengers Bangalore",4,1,0,10,10,10,9,111.11,0,0,0,1,0
"AR Patel ","Kings XI Punjab",14,10,3,111,36,15.85,77,144.15,0,0,2,4,8
"HV Patel ","Royal Challengers Bangalore",5,1,1,0,0,0,0,0,0,0,0,0,0
"PA Patel ","Mumbai Indians",10,10,0,177,81,17.7,152,116.44,0,1,1,23,4
"IK Pathan ","Rising Pune Supergiants",4,3,0,11,7,3.66,13,84.61,0,0,0,0,0
"YK Pathan ","Kolkata Knight Riders",15,13,8,361,63,72.2,248,145.56,0,3,0,33,13
"NLTC Perera ","Rising Pune Supergiants",12,10,3,150,34,21.42,93,161.29,0,0,0,7,11
"KP Pietersen ","Rising Pune Supergiants",4,4,2,73,37,36.5,61,119.67,0,0,0,4,3
"KA Pollard ","Mumbai Indians",13,12,4,207,51,25.87,144,143.75,0,1,0,11,16
"AM Rahane ","Rising Pune Supergiants",14,14,3,480,74,43.63,379,126.64,0,6,2,54,9
"KL Rahul ","Royal Challengers Bangalore",14,12,3,397,68,44.11,271,146.49,0,4,1,37,16
"SK Raina ","Gujarat Lions",15,15,1,399,75,28.5,312,127.88,0,3,0,39,10
"AS Rajpoot ","Kolkata Knight Riders",4,0,0,0,0,0,0,0,0,0,0,0,0
"N Rana ","Mumbai Indians",4,3,0,104,70,34.66,75,138.66,0,1,0,7,8
"AT Rayudu ","Mumbai Indians",13,12,1,334,65,30.36,278,120.14,0,2,1,28,12
"KW Richardson ","Royal Challengers Bangalore",4,1,1,1,1,0,1,100,0,0,0,0,0
"AD Russell ","Kolkata Knight Riders",12,8,1,188,39,26.85,114,164.91,0,0,0,10,15
"Sachin Baby ","Royal Challengers Bangalore",11,6,2,119,33,29.75,79,150.63,0,0,1,9,5
"WP Saha ","Kings XI Punjab",12,12,1,270,56,24.54,212,127.35,0,2,0,29,1
"P Sahu ","Kings XI Punjab",5,2,1,19,18,19,13,146.15,0,0,0,1,1
"SV Samson ","Delhi Daredevils",14,14,3,291,60,26.45,259,112.35,0,1,0,20,8
"Sandeep Sharma ","Kings XI Punjab",14,4,4,8,5,0,9,88.88,0,0,0,0,0
"PJ Sangwan ","Gujarat Lions",2,0,0,0,0,0,0,0,0,0,0,0,0
"R Sathish ","Kolkata Knight Riders",4,3,0,24,10,8,24,100,0,0,0,1,1
"T Shamsi ","Royal Challengers Bangalore",4,0,0,0,0,0,0,0,0,0,0,0,0
"Shakib Al Hasan ","Kolkata Knight Riders",10,7,2,114,66,22.8,106,107.54,0,1,0,7,5
"I Sharma ","Rising Pune Supergiants",4,1,1,0,0,0,0,0,0,0,0,0,0
"KV Sharma ","Sunrisers Hyderabad",5,3,3,36,26,0,30,120,0,0,0,3,1
"MM Sharma ","Kings XI Punjab",14,6,2,32,15,8,26,123.07,0,0,0,3,1
"RG Sharma ","Mumbai Indians",14,14,3,489,85,44.45,368,132.88,0,5,1,49,16
"LMP Simmons ","Mumbai Indians",1,1,0,8,8,8,8,100,0,0,0,0,1
"RP Singh ","Rising Pune Supergiants",4,0,0,0,0,0,0,0,0,0,0,0,0
"DR Smith ","Gujarat Lions",12,12,1,324,73,29.45,221,146.6,0,3,1,35,16
"SPD Smith ","Rising Pune Supergiants",8,7,1,270,101,45,176,153.4,1,0,0,27,8
"TG Southee ","Mumbai Indians",11,4,1,30,25,10,19,157.89,0,0,0,1,2
"BB Sran ","Sunrisers Hyderabad",14,4,4,4,2,0,4,100,0,0,0,0,0
"DW Steyn ","Gujarat Lions",1,1,0,1,1,1,2,50,0,0,0,0,0
"MP Stoinis ","Kings XI Punjab",7,5,1,146,52,36.5,108,135.18,0,1,1,13,4
"J Suchith ","Mumbai Indians",1,0,0,0,0,0,0,0,0,0,0,0,0
"Swapnil Singh ","Kings XI Punjab",1,1,0,0,0,0,1,0,0,0,1,0,0
"PV Tambe ","Gujarat Lions",7,1,1,7,7,0,19,36.84,0,0,0,1,0
"AP Tare ","Sunrisers Hyderabad",3,2,0,8,8,4,15,53.33,0,0,1,1,0
"SS Tiwary ","Rising Pune Supergiants",10,8,1,170,57,24.28,141,120.56,0,2,0,17,4
"JD Unadkat ","Kolkata Knight Riders",1,0,0,0,0,0,0,0,0,0,0,0,0
"RV Uthappa ","Kolkata Knight Riders",15,15,0,394,72,26.26,289,136.33,0,3,1,45,8
"M Vijay ","Kings XI Punjab",14,14,1,453,89,34.84,364,124.45,0,5,0,50,10
"R Vinay Kumar ","Mumbai Indians",3,2,1,13,12,13,12,108.33,0,0,0,0,1
"M Vohra ","Kings XI Punjab",7,7,0,161,51,23,131,122.9,0,1,1,19,3
"DA Warner ","Sunrisers Hyderabad",17,17,3,848,93,60.57,560,151.42,0,9,1,88,31
"SR Watson ","Royal Challengers Bangalore",16,15,2,179,36,13.76,134,133.58,0,0,1,14,12
"D Wiese ","Royal Challengers Bangalore",1,1,1,5,5,0,4,125,0,0,0,0,0
"KS Williamson ","Sunrisers Hyderabad",6,6,0,124,50,20.66,122,101.63,0,1,0,14,0
"J Yadav ","Delhi Daredevils",5,2,0,6,5,3,10,60,0,0,0,0,0
"SA Yadav ","Kolkata Knight Riders",15,11,4,182,60,26,143,127.27,0,1,0,18,5
"UT Yadav ","Kolkata Knight Riders",9,2,1,9,7,9,5,180,0,0,0,0,1
"Yuvraj Singh ","Sunrisers Hyderabad",10,10,1,236,44,26.22,179,131.84,0,0,0,22,13
"A Zampa ","Rising Pune Supergiants",5,1,0,0,0,0,1,0,0,0,1,0,0
